key,classname,name,status,time,message
channels.iax2::basic_call,channels.iax2,basic_call,pass,5.43,
channels.iax2::hangupcause,channels.iax2,hangupcause,skip,0.00,Unstable - issue #102
channels.local::local_app,channels.local,local_app,pass,3.98,
channels.local::local_call,channels.local,local_call,pass,4.48,
channels.local::local_holding_bridge,channels.local,local_holding_bridge,pass,7.95,
channels.local::local_loop,channels.local,local_loop,pass,3.95,
channels.local::local_optimize_away,channels.local,local_optimize_away,pass,3.96,
channels.local::local_removed_audio_stream_request,channels.local,local_removed_audio_stream_request,pass,4.00,
channels.pjsip.all_codecs_on_empty_reinvite::early_offer,channels.pjsip.all_codecs_on_empty_reinvite,early_offer,pass,4.59,
channels.pjsip.all_codecs_on_empty_reinvite::late_offer,channels.pjsip.all_codecs_on_empty_reinvite,late_offer,pass,4.49,
channels.pjsip.allow_sending_180_after_183::disabled,channels.pjsip.allow_sending_180_after_183,disabled,pass,5.09,
channels.pjsip.allow_sending_180_after_183::enabled,channels.pjsip.allow_sending_180_after_183,enabled,pass,5.16,
channels.pjsip.ami.pjsip_notify::channel,channels.pjsip.ami.pjsip_notify,channel,pass,4.02,
channels.pjsip.ami.pjsip_notify::cli,channels.pjsip.ami.pjsip_notify,cli,pass,4.08,
channels.pjsip.ami.pjsip_notify::content,channels.pjsip.ami.pjsip_notify,content,pass,4.05,
channels.pjsip.ami.pjsip_notify::custom_headers,channels.pjsip.ami.pjsip_notify,custom_headers,pass,4.16,
channels.pjsip.ami.pjsip_notify::reserved_headers,channels.pjsip.ami.pjsip_notify,reserved_headers,pass,4.02,
channels.pjsip.ami.pjsip_notify::to_uri,channels.pjsip.ami.pjsip_notify,to_uri,pass,3.94,
channels.pjsip.ami::pjsip_qualify,channels.pjsip.ami,pjsip_qualify,pass,4.09,
channels.pjsip.ami::show_endpoint,channels.pjsip.ami,show_endpoint,pass,2.98,
channels.pjsip.ami::show_endpoints,channels.pjsip.ami,show_endpoints,pass,2.93,
channels.pjsip.ami::show_registration_inbound_contact_statuses,channels.pjsip.ami,show_registration_inbound_contact_statuses,pass,4.05,
channels.pjsip.ami::show_registrations_inbound,channels.pjsip.ami,show_registrations_inbound,pass,4.01,
channels.pjsip.ami::show_registrations_outbound,channels.pjsip.ami,show_registrations_outbound,pass,3.05,
channels.pjsip.ami::show_subscriptions,channels.pjsip.ami,show_subscriptions,pass,4.02,
channels.pjsip.aoc::aoc_d_to_callee_in_200,channels.pjsip.aoc,aoc_d_to_callee_in_200,pass,4.03,
channels.pjsip.aoc::aoc_d_to_callee_in_bye,channels.pjsip.aoc,aoc_d_to_callee_in_bye,pass,5.02,
channels.pjsip.aoc::aoc_d_to_callee_in_info,channels.pjsip.aoc,aoc_d_to_callee_in_info,pass,4.08,
channels.pjsip.aoc::aoc_d_to_caller_in_200,channels.pjsip.aoc,aoc_d_to_caller_in_200,pass,3.99,
channels.pjsip.aoc::aoc_d_to_caller_in_bye,channels.pjsip.aoc,aoc_d_to_caller_in_bye,pass,5.60,
channels.pjsip.aoc::aoc_d_to_caller_in_info,channels.pjsip.aoc,aoc_d_to_caller_in_info,pass,3.97,
channels.pjsip.aoc::aoc_e_to_callee_in_200,channels.pjsip.aoc,aoc_e_to_callee_in_200,pass,5.01,
channels.pjsip.aoc::aoc_e_to_callee_in_bye,channels.pjsip.aoc,aoc_e_to_callee_in_bye,pass,5.16,
channels.pjsip.aoc::aoc_e_to_caller_in_200,channels.pjsip.aoc,aoc_e_to_caller_in_200,pass,5.02,
channels.pjsip.aoc::aoc_e_to_caller_in_bye,channels.pjsip.aoc,aoc_e_to_caller_in_bye,pass,5.55,
channels.pjsip.aoc::aoc_s_to_callee_in_info,channels.pjsip.aoc,aoc_s_to_callee_in_info,pass,4.04,
channels.pjsip.aoc::aoc_s_to_caller_in_180,channels.pjsip.aoc,aoc_s_to_caller_in_180,pass,5.04,
channels.pjsip.aoc::aoc_s_to_caller_in_183,channels.pjsip.aoc,aoc_s_to_caller_in_183,pass,5.02,
channels.pjsip.aoc::aoc_s_to_caller_in_200,channels.pjsip.aoc,aoc_s_to_caller_in_200,pass,5.13,
channels.pjsip.aoc::aoc_s_to_caller_in_info,channels.pjsip.aoc,aoc_s_to_caller_in_info,pass,3.96,
channels.pjsip.auth.uac::multiple_realm_multiple_digest,channels.pjsip.auth.uac,multiple_realm_multiple_digest,pass,4.00,
channels.pjsip.auth.uac::single_realm_multiple_digest,channels.pjsip.auth.uac,single_realm_multiple_digest,pass,4.00,
channels.pjsip.auth.uac::single_realm_single_digest,channels.pjsip.auth.uac,single_realm_single_digest,pass,4.11,
channels.pjsip.auth.uas::auth_security_events,channels.pjsip.auth.uas,auth_security_events,pass,3.98,
channels.pjsip.basic_calls.incoming.nominal.authed.md5::ident_by_header,channels.pjsip.basic_calls.incoming.nominal.authed.md5,ident_by_header,pass,60.60,
